run_id,phase,cycle,target_idx,sample_idx,t_ros_ns,theta_right,theta_left,x,y,z,qx,qy,qz,qw,det_base_y,det_base_z,det_ee_y,det_ee_z,urdf_base_y,urdf_base_z,urdf_ee_y,urdf_ee_z,d_detected,d_urdf,d_error
static_accuracy/2026-05-31/12-10-44,home,0,,1,1780218649313503174,0.14460632170759202,0.6900367907548044,0.1861189337377141,-0.5849055318049573,-0.3371400562965068,0.018149593232495927,-0.015759212508028125,0.825914968962168,0.5632820816703143,0.0003021936483749432,0.9721156250941656,-0.19854129077675342,0.4060264828543024,1.1463507906314124e-06,0.9900000000000105,-0.16611228135288855,0.44811321173838603,0.5999963735391993,0.5667759364651644,0.03322043707403488
static_accuracy/2026-05-31/12-10-44,target,1,1,1,1780218659855880127,-0.7620013559780067,-0.558766504371845,-0.3172821633667494,-0.6690697196013059,-0.32511159477002427,0.039562029430138985,0.013518176112604238,0.6546493461170507,0.7547756874532163,0.0002625000815105194,0.9721713080080943,0.3015962911532759,0.30675159639031585,1.1463507906314124e-06,0.9900000000000105,0.29942607319841325,0.3399905312212459,0.7304693328615307,0.7156588547064557,0.014810478155074969
static_accuracy/2026-05-31/12-10-44,target,2,1,1,1780218670097634033,-0.7620013559780067,-0.558766504371845,-0.31891468857535304,-0.6721254569714098,-0.3276152743834224,0.038059442071265485,0.02866070609610804,0.7180753860607653,0.6943326167831808,7.255416355267386e-05,0.9723379720979782,0.3027886888008302,0.3048342666233107,1.1463507906314124e-06,0.9900000000000105,0.29942607319841325,0.3399905312212459,0.7329380976536464,0.7156588547064557,0.01727924294719063
static_accuracy/2026-05-31/12-10-44,target,3,1,1,1780218677372527832,-0.7620013559780067,-0.558766504371845,-0.3178980929498061,-0.6733323112747429,-0.33008206116304184,0.026889021627349134,0.025505740389456133,0.7884235719986935,0.6140152350226585,-2.4172017914741994e-05,0.9722587777335369,0.3025395455746635,0.303299022518224,1.1463507906314124e-06,0.9900000000000105,0.29942607319841325,0.3399905312212459,0.7342015781113336,0.7156588547064557,0.018542723404877837
static_accuracy/2026-05-31/12-10-44,target,4,1,1,1780218684941609863,-0.7620013559780067,-0.558766504371845,-0.31956493144022985,-0.6741542492993264,-0.32871637882472404,0.016494606865051727,0.025338556951422155,0.8595695219605323,0.5101236344186861,-9.02133769388469e-05,0.9722924847588621,0.30299090277194207,0.3031643004238591,1.1463507906314124e-06,0.9900000000000105,0.29942607319841325,0.3399905312212459,0.7345683698863634,0.7156588547064557,0.018909515179907688
static_accuracy/2026-05-31/12-10-44,target,5,1,1,1780218693584728271,-0.7620013559780067,-0.558766504371845,-0.3185754743424593,-0.6723909125950058,-0.3250638494411442,0.005489231110911317,0.015001641027761328,0.9164186149702457,0.39990216459066796,-0.00014170268931654184,0.9722758725610814,0.30242818737819177,0.30414926553114935,1.1463507906314124e-06,0.9900000000000105,0.29942607319841325,0.3399905312212459,0.7334450909214631,0.7156588547064557,0.01778623621500741
