run_id,phase,cycle,target_idx,sample_idx,t_ros_ns,theta_right,theta_left,x,y,z,qx,qy,qz,qw,det_base_y,det_base_z,det_ee_y,det_ee_z,urdf_base_y,urdf_base_z,urdf_ee_y,urdf_ee_z,d_detected,d_urdf,d_error
static_accuracy/2026-07-08/17-57-39,home,0,,1,1783522663141931641,0.0001472782685401075,-0.00014727826854021853,-0.00462800926845193,-0.7650891820398256,-0.32372484614918406,-0.021482383216242847,-0.012319253176391707,0.920169937129523,-0.3907352428634716,0.07594634235320993,1.0420138943715642,0.07767414092471231,0.3300256764589795,1.1463507906314124e-06,0.9900000000000105,3.0516282835034e-07,0.2109888040964959,0.7119903143542347,0.7790111959039688,-0.06702088154973418
static_accuracy/2026-07-08/17-57-39,target,1,1,1,1783522668413954346,0.3119255532749995,0.5374265842285727,0.19822080106406448,-0.6724559978526294,-0.3214155338309909,0.03245766942631518,0.013855326182802774,-0.8529152767125587,0.5208551241776539,0.07596599633643925,1.0423450841673843,-0.12373521494354445,0.42719005918597985,1.1463507906314124e-06,0.9900000000000105,-0.19999408289246545,0.3100042142056382,0.6467582844823597,0.7087964167644815,-0.06203813228212174
static_accuracy/2026-07-08/17-57-39,target,2,1,1,1783522675687292969,0.3119255532749995,0.5374265842285727,0.1996191887024918,-0.6717504104504348,-0.3226056161994596,0.034332530544212946,0.011999748984714344,-0.8482781416087177,0.5283005563498822,0.07595906950980538,1.0422791160626523,-0.12370579538052695,0.42728878434152084,1.1463507906314124e-06,0.9900000000000105,-0.19999408289246545,0.3100042142056382,0.6465904162467474,0.7087964167644815,-0.06220600051773406
static_accuracy/2026-07-08/17-57-39,target,3,1,1,1783522685687601318,0.3119255532749995,0.5374265842285727,0.19649277504310486,-0.6700947086918619,-0.3207500306263621,0.034159245172467045,0.020833249912237173,-0.8336262509709796,0.5508778406864908,0.07595455731084363,1.0422782731272295,-0.12300891325477192,0.4279785313734729,1.1463507906314124e-06,0.9900000000000105,-0.19999408289246545,0.3100042142056382,0.6457171480905912,0.7087964167644815,-0.06307926867389024
static_accuracy/2026-07-08/17-57-39,target,4,1,1,1783522696599138672,0.3119255532749995,0.5374265842285727,0.19613106900920424,-0.6702496236501616,-0.3233883962128098,0.03289212532080637,0.01807395629855479,-0.820317047776014,0.5706762491322405,0.07594458508565266,1.0422144934430841,-0.12313454024093556,0.4278411813916873,1.1463507906314124e-06,0.9900000000000105,-0.19999408289246545,0.3100042142056382,0.6458227811883089,0.7087964167644815,-0.06297363557617253
static_accuracy/2026-07-08/17-57-39,target,5,1,1,1783522707707073975,0.3119255532749995,0.5374265842285727,0.19743331912956918,-0.670987349330787,-0.3246451810340619,0.034568883259933146,0.013940614246338127,-0.8184420556364035,0.5733788042387458,0.07595820865607208,1.0423231257479322,-0.1233149556928696,0.427574294061517,1.1463507906314124e-06,0.9900000000000105,-0.19999408289246545,0.3100042142056382,0.6462398317106837,0.7087964167644815,-0.0625565850537978
static_accuracy/2026-07-08/17-57-39,target,6,1,1,1783522720681299805,0.3119255532749995,0.5374265842285727,0.1960868724423918,-0.6701805378238366,-0.3233105850957556,0.033554090563191585,0.019287091236622866,-0.8168169903706635,0.5755971988812305,0.07592963667658242,1.0421418150649049,-0.12313267683382983,0.42781692428689533,1.1463507906314124e-06,0.9900000000000105,-0.19999408289246545,0.3100042142056382,0.6457715355212948,0.7087964167644815,-0.06302488124318661
static_accuracy/2026-07-08/17-57-39,target,7,1,1,1783522729823424316,0.3119255532749995,0.5374265842285727,0.1975436480844563,-0.6695818552043332,-0.323133058121198,0.033414679418048605,0.019074622337049034,-0.8162278432440574,0.5764475048911585,0.07589538479950458,1.0419108565511013,-0.12312124011650488,0.42785816311626834,1.1463507906314124e-06,0.9900000000000105,-0.19999408289246545,0.3100042142056382,0.6454985106935046,0.7087964167644815,-0.06329790607097685
static_accuracy/2026-07-08/17-57-39,target,8,1,1,1783522738662210449,0.3119255532749995,0.5374265842285727,0.19700454652072671,-0.6696968163349836,-0.3244838074814146,0.03344043766733626,0.018557354930951727,-0.815609105883584,0.5773379842920127,0.07591913107679413,1.0421337209471662,-0.12324314553462301,0.4277160491104641,1.1463507906314124e-06,0.9900000000000105,-0.19999408289246545,0.3100042142056382,0.645890616041351,0.7087964167644815,-0.06290580072313046
static_accuracy/2026-07-08/17-57-39,target,9,1,1,1783522747034391846,0.3119255532749995,0.5374265842285727,0.1968586365102455,-0.6700531818367278,-0.32474584085491726,0.033062568716482964,0.018086522711344078,-0.8149743473798639,0.5782703151285257,0.07594496226537015,1.0422898030869627,-0.12330675362355537,0.42760997687137475,1.1463507906314124e-06,0.9900000000000105,-0.19999408289246545,0.3100042142056382,0.6461675750462155,0.7087964167644815,-0.06262884171826599
static_accuracy/2026-07-08/17-57-39,target,10,1,1,1783522754638955566,0.3119255532749995,0.5374265842285727,0.19747493871289595,-0.6709646310840934,-0.31835544800505466,0.03422809740360876,0.02018522971034659,-0.8148083985739842,0.5783668969287307,0.07596895279124288,1.0424591041031124,-0.1232925945268829,0.42768089760692185,1.1463507906314124e-06,0.9900000000000105,-0.19999408289246545,0.3100042142056382,0.6462641932076125,0.7087964167644815,-0.06253222355686894
