run_id,cycle,target_idx,theta_right,theta_left,fk_x,fk_y,fk_z
repeatability/2026-07-12/15-07-48,1,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,2,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,3,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,4,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,5,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,6,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,7,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,8,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,9,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,10,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,11,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,12,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,13,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,14,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,15,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,16,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,17,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,18,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,19,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,20,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,21,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,22,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,23,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,24,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,25,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,26,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,27,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,28,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,29,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
repeatability/2026-07-12/15-07-48,30,1,-0.638220784507158,-0.27578738626420296,0.291,0.2,0.5999999999999999
