run_id,phase,cycle,target_idx,sample_idx,t_ros_ns,theta_right,theta_left,x,y,z,qx,qy,qz,qw,det_base_y,det_base_z,det_ee_y,det_ee_z,urdf_base_y,urdf_base_z,urdf_ee_y,urdf_ee_z,d_detected,d_urdf,d_error,tip_qx,tip_qy,tip_qz,tip_qw
repeatability/2026-07-12/15-07-48,home,0,,1,1783858072832942627,0.0001472782685401075,-0.00014727826854021853,-0.01363509411383415,-0.7521400764806259,-0.3517503150713668,-0.027904056204342602,-0.03467545529489876,0.9989624668256569,0.009641904429866842,0.014649537320797929,1.062399976191351,0.008414994103611845,0.29078074875794174,1.1463507906314124e-06,0.9900000000000105,3.0516282835034e-07,0.2109888040964959,0.7716444140107919,0.7790111959039688,-0.007366781893176966,1.1889942961905132e-06,0.8961402392840546,-0.44377096743044936,-5.887930548808902e-07
repeatability/2026-07-12/15-07-48,target,1,1,1,1783858080069750732,-0.638220784507158,-0.27578738626420296,-0.21677616901946745,-0.6024192917654136,-0.34510715395043445,-0.0005895160959701332,-0.03520495377217547,0.9887649731279108,0.14527247370384214,0.014621022949326734,1.062190124171337,0.2140601537729554,0.43610148028821905,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6570867194694214,0.6609856225028915,-0.003898903033470069,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,2,1,1,1783858087412837891,-0.638220784507158,-0.27578738626420296,-0.21687261900123056,-0.6031920285915231,-0.34481378006564056,-0.0006846335791200198,-0.034978086855762806,0.9887996158658282,0.14509095209682604,0.014664424057304665,1.062465550638026,0.2142205540724681,0.43582244984291457,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6576505339469747,0.6609856225028915,-0.0033350885559167986,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,3,1,1,1783858095353096680,-0.638220784507158,-0.27578738626420296,-0.21740843602380056,-0.6022385038188888,-0.3445611551522067,-0.0022453841325844595,-0.035155046363653616,0.9886988435190804,0.14571780189564892,0.014662653725045239,1.0623441535548481,0.21403118215106437,0.43618579568013577,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6571317213946628,0.6609856225028915,-0.0038539011082286967,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,4,1,1,1783858103154579102,-0.638220784507158,-0.27578738626420296,-0.2162971858824103,-0.6021035199280946,-0.34581596634653017,-0.0031327142772712984,-0.03771089492465667,0.9889545174913007,0.1433074905187687,0.01463504962339623,1.0622999862791551,0.21405714861865133,0.4359803361403556,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6573016641677256,0.6609856225028915,-0.0036839583351658822,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,5,1,1,1783858110360813232,-0.638220784507158,-0.27578738626420296,-0.21669029670758866,-0.6020352445245005,-0.34692100329955367,-0.0001017269247684529,-0.03665598582227521,0.9890408252481746,0.14301948939721376,0.014607880232736981,1.0622112446191623,0.21413640948130813,0.43585633219573117,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6573675610349677,0.6609856225028915,-0.003618061467923761,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,6,1,1,1783858118167894043,-0.638220784507158,-0.27578738626420296,-0.21701879445003036,-0.6029617542577197,-0.3443785627174518,0.0001077571655990758,-0.03733324193767869,0.9891653387099487,0.14197940037078793,0.014639930310698513,1.0625074873246443,0.21412488857792777,0.4358689843698221,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6576245600343246,0.6609856225028915,-0.0033610624685669332,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,7,1,1,1783858127771778564,-0.638220784507158,-0.27578738626420296,-0.2165483803981653,-0.6024532427004898,-0.34471441448049345,-0.0017708596910053773,-0.037140315930332256,0.9893500770877117,0.14072628025741596,0.014651621289025968,1.062351559198952,0.2140744433688258,0.43606867718332487,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6572668486026596,0.6609856225028915,-0.0037187739002318976,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,8,1,1,1783858137185002686,-0.638220784507158,-0.27578738626420296,-0.21669325038974802,-0.6029053373627014,-0.34278270763885665,-0.003191674122461684,-0.03816138151865684,0.9894646521666458,0.13961813739490328,0.014676638441531937,1.0624465010183561,0.2139883843278741,0.436354744482523,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6570510327595466,0.6609856225028915,-0.0039345897433449295,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,9,1,1,1783858144520607422,-0.638220784507158,-0.27578738626420296,-0.21636977346333583,-0.602828790224486,-0.34364224688720935,-0.0017296564100797156,-0.037696572073325434,0.9895506140992887,0.1391601914282394,0.014683346693929311,1.0624391227229883,0.21405997510649544,0.4362962299378443,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6571194428279464,0.6609856225028915,-0.0038661796749450694,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,10,1,1,1783858151926442139,-0.638220784507158,-0.27578738626420296,-0.2170980383558421,-0.6030326839088851,-0.34353037629838457,-0.0006311105774282069,-0.03679626761784937,0.98988980426743,0.1369810636410146,0.014670330816081262,1.0624463651717981,0.21407088342658603,0.43614988352046813,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6572730508017268,0.6609856225028915,-0.0037125717011646797,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,11,1,1,1783858159162905273,-0.638220784507158,-0.27578738626420296,-0.21696209762759872,-0.6032590758715548,-0.34506651411526224,0.0005493009155165818,-0.03303931785243831,0.9899225942812061,0.13770025082009205,0.014638353849534736,1.0625150825927,0.2142870395946483,0.435890258191792,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6576612108640891,0.6609856225028915,-0.0033244116388023714,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,12,1,1,1783858166971577637,-0.638220784507158,-0.27578738626420296,-0.21742092403066118,-0.6024028293919148,-0.3438380070644441,-0.002734849641592763,-0.03716341833740336,0.9899020895783045,0.13676715242858345,0.014656374726516342,1.0623423387572744,0.21401861556271667,0.4361874035528424,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6571265524631443,0.6609856225028915,-0.00385907003974717,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,13,1,1,1783858174378112305,-0.638220784507158,-0.27578738626420296,-0.21609195478666438,-0.6027043006170822,-0.3439139808323221,-0.004527114669132747,-0.035944788508012436,0.9895693655771332,0.13942721442801959,0.014636573404626813,1.062459891283832,0.21394716800545083,0.4363155454228682,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6571007951401278,0.6609856225028915,-0.003884827362763743,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,14,1,1,1783858183116095703,-0.638220784507158,-0.27578738626420296,-0.21719683457131245,-0.6026279393340204,-0.34489375433159153,-0.0011687294975709084,-0.03577188071861428,0.989804031599404,0.13786582481086732,0.014649136760207066,1.0624456802813724,0.21414421711925985,0.43601612344376317,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6574285335815814,0.6609856225028915,-0.0035570889213101253,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,15,1,1,1783858195754916992,-0.638220784507158,-0.27578738626420296,-0.21631730332612228,-0.6031133829807902,-0.3434812408965996,-0.0016601096002755715,-0.035136113199234424,0.9900008744061088,0.13660514726944029,0.014665954516155178,1.0626012371111813,0.21407635549812187,0.43633465603783206,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6572475474196086,0.6609856225028915,-0.0037380750832829435,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
repeatability/2026-07-12/15-07-48,target,16,1,1,1783858204629875732,-0.638220784507158,-0.27578738626420296,-0.21692337063659917,-0.6022099107301165,-0.34522025705329107,-0.0006574071515467185,-0.0377967871481378,0.9899863585105808,0.13600728164357737,0.014676675392552125,1.0623174397137718,0.21410602510746707,0.4360725918216903,1.1463507906314124e-06,0.9900000000000105,0.2000006375657727,0.3599982566141027,0.6572325882357707,0.6609856225028915,-0.003753034267120814,1.2348821414565806e-06,0.9307257244867306,-0.36571795933053397,-4.85232722063501e-07
