run_id,cycle,target_idx,theta_right,theta_left,fk_x,fk_y,fk_z
static_accuracy/2026-07-12/13-28-53,1,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,2,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,3,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,4,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,5,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,6,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,7,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,8,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,9,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,10,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,11,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,12,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,13,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,14,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,15,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,16,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,17,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,18,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,19,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,20,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,21,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,22,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,23,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,24,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,25,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,26,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,27,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,28,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,29,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
static_accuracy/2026-07-12/13-28-53,30,1,-0.6382207845071585,-0.27578738626420296,0.291,0.20000000000000007,0.5999999999999996
